time,open,high,low,close,volume,spread
2022-05-11T11:21:15.106Z,0.9,0.90237,0.89588,0.8974,1382,2
2022-05-12T11:21:15.106Z,0.89804,0.8993,0.89575,0.89792,1499,2
2022-05-13T11:21:15.106Z,0.89805,0.89974,0.89494,0.89713,1499,2
2022-05-14T11:21:15.106Z,0.89697,0.90666,0.88157,0.89208,1398,2
2022-05-15T11:21:15.106Z,0.89224,0.9031,0.87552,0.88585,1900,2
2022-05-16T11:21:15.106Z,0.88598,0.89796,0.88176,0.88981,1840,2
2022-05-17T11:21:15.106Z,0.8901,0.89109,0.888,0.88968,1484,2
2022-05-18T11:21:15.106Z,0.88926,0.90188,0.88116,0.89281,1643,2
2022-05-19T11:21:15.106Z,0.89354,0.89483,0.88978,0.89083,1168,2
2022-05-20T11:21:15.106Z,0.89033,0.90506,0.85954,0.88056,2304,2
2022-05-21T11:21:15.106Z,0.88108,0.88236,0.87879,0.8795,1399,2
2022-05-22T11:21:15.106Z,0.87995,0.89368,0.87742,0.88989,1859,2
2022-05-23T11:21:15.106Z,0.89046,0.90654,0.87926,0.89611,1735,2
2022-05-24T11:21:15.106Z,0.89665,0.9005,0.89527,0.89845,1579,2
2022-05-25T11:21:15.106Z,0.89869,0.90454,0.89657,0.90199,1265,2
2022-05-26T11:21:15.106Z,0.90141,0.90702,0.88481,0.88785,1873,2
2022-05-27T11:21:15.106Z,0.88812,0.89187,0.86741,0.87997,1959,2
2022-05-28T11:21:15.106Z,0.8796,0.88239,0.87814,0.88023,1384,2
2022-05-29T11:21:15.106Z,0.87947,0.89174,0.87461,0.88828,1988,2
2022-05-30T11:21:15.106Z,0.88895,0.90337,0.88586,0.89949,2148,2
2022-05-31T11:21:15.106Z,0.89989,0.92539,0.88924,0.91191,1754,2
2022-06-01T11:21:15.106Z,0.9122,0.91831,0.89198,0.89884,1721,2
2022-06-02T11:21:15.106Z,0.89893,0.90202,0.89766,0.90081,1652,2
2022-06-03T11:21:15.106Z,0.90028,0.92168,0.88303,0.90937,1423,2
2022-06-04T11:21:15.106Z,0.90878,0.92054,0.9051,0.91621,1443,2
2022-06-05T11:21:15.106Z,0.91656,0.93424,0.90596,0.92496,2058,2
2022-06-06T11:21:15.106Z,0.92419,0.92785,0.91582,0.9198,1507,2
2022-06-07T11:21:15.106Z,0.92004,0.94662,0.90419,0.92977,1990,2
2022-06-08T11:21:15.106Z,0.93007,0.93804,0.8972,0.91786,2311,2
2022-06-09T11:21:15.106Z,0.91786,0.92139,0.90461,0.91124,1354,2
2022-06-10T11:21:15.106Z,0.91143,0.93963,0.89217,0.92184,1740,2
