time,open,high,low,close,volume,spread
2026-06-14T06:21:15.111Z,155.01,155.05,154.91,154.95,1752,2
2026-06-14T06:26:15.111Z,154.96,155.01,154.93,154.97,1209,2
2026-06-14T06:31:15.111Z,154.95,155.02,154.93,154.97,941,2
2026-06-14T06:36:15.111Z,154.97,155.09,154.93,155.05,1912,2
2026-06-14T06:41:15.111Z,155.06,155.07,155.01,155.04,1170,2
2026-06-14T06:46:15.111Z,155.03,155.29,154.95,155.19,1583,2
2026-06-14T06:51:15.111Z,155.18,155.35,155.01,155.11,1669,2
2026-06-14T06:56:15.111Z,155.1,155.52,154.83,155.26,1660,2
2026-06-14T07:01:15.111Z,155.26,155.39,155.08,155.2,1686,2
2026-06-14T07:06:15.111Z,155.2,155.42,155.13,155.31,1839,2
2026-06-14T07:11:15.111Z,155.31,155.32,155.26,155.3,1569,2
2026-06-14T07:16:15.111Z,155.28,155.35,155.26,155.32,1171,2
2026-06-14T07:21:15.111Z,155.33,155.36,155.31,155.34,1671,2
2026-06-14T07:26:15.111Z,155.34,155.55,155.29,155.46,1708,2
2026-06-14T07:31:15.111Z,155.46,155.49,155.43,155.46,1126,2
2026-06-14T07:36:15.111Z,155.46,155.67,155.24,155.59,2056,2
2026-06-14T07:41:15.111Z,155.57,155.94,155.44,155.68,1737,2
2026-06-14T07:46:15.111Z,155.68,155.78,155.57,155.63,1357,2
2026-06-14T07:51:15.111Z,155.65,155.78,155.33,155.54,1749,2
2026-06-14T07:56:15.111Z,155.53,155.64,155.36,155.47,1645,2
2026-06-14T08:01:15.111Z,155.47,155.65,155.18,155.34,1446,2
2026-06-14T08:06:15.111Z,155.34,155.48,155.32,155.42,1431,2
2026-06-14T08:11:15.111Z,155.42,155.72,154.94,155.27,1375,2
2026-06-14T08:16:15.111Z,155.27,155.44,155.15,155.32,1360,2
2026-06-14T08:21:15.111Z,155.31,155.35,155.07,155.13,1461,2
2026-06-14T08:26:15.111Z,155.12,155.13,155.09,155.12,1159,2
2026-06-14T08:31:15.111Z,155.12,155.16,155.1,155.13,1692,2
2026-06-14T08:36:15.111Z,155.13,155.22,155.12,155.2,1326,2
2026-06-14T08:41:15.111Z,155.21,155.43,155.06,155.28,1151,2
2026-06-14T08:46:15.111Z,155.29,155.35,155.26,155.32,1786,2
2026-06-14T08:51:15.111Z,155.32,155.37,155.18,155.26,1491,2
2026-06-14T08:56:15.111Z,155.25,155.55,155.06,155.36,1819,2
2026-06-14T09:01:15.111Z,155.35,155.82,155.09,155.55,2161,2
2026-06-14T09:06:15.111Z,155.54,155.77,155.51,155.69,1371,2
2026-06-14T09:11:15.111Z,155.68,155.73,155.47,155.55,1354,2
2026-06-14T09:16:15.111Z,155.57,156.5,155.31,155.89,2431,2
2026-06-14T09:21:15.111Z,155.91,156.04,155.84,156,1926,2
2026-06-14T09:26:15.111Z,155.99,156.19,155.89,156.11,1597,2
2026-06-14T09:31:15.111Z,156.1,156.33,155.57,155.88,2092,2
2026-06-14T09:36:15.111Z,155.88,155.91,155.86,155.88,1519,2
2026-06-14T09:41:15.111Z,155.89,156.03,155.45,155.7,1634,2
2026-06-14T09:46:15.111Z,155.68,155.92,155.41,155.78,1838,2
2026-06-14T09:51:15.111Z,155.77,155.84,155.69,155.72,1199,2
2026-06-14T09:56:15.111Z,155.71,155.77,155.69,155.74,1762,2
2026-06-14T10:01:15.111Z,155.74,155.83,155.61,155.68,1427,2
2026-06-14T10:06:15.111Z,155.68,155.87,155.53,155.8,1803,2
2026-06-14T10:11:15.111Z,155.8,155.84,155.79,155.81,1689,2
2026-06-14T10:16:15.111Z,155.82,155.85,155.8,155.82,1271,2
2026-06-14T10:21:15.111Z,155.82,155.89,155.79,155.85,1844,2
2026-06-14T10:26:15.111Z,155.85,156.02,155.68,155.77,1817,2
2026-06-14T10:31:15.111Z,155.77,156.14,155.52,156.06,2671,2
2026-06-14T10:36:15.111Z,156.07,156.34,155.95,156.2,1926,2
2026-06-14T10:41:15.111Z,156.21,156.26,156.17,156.24,1256,2
2026-06-14T10:46:15.111Z,156.25,156.27,156.16,156.19,1945,2
2026-06-14T10:51:15.111Z,156.18,156.64,155.63,155.94,2145,2
2026-06-14T10:56:15.111Z,155.95,156.03,155.9,155.99,1752,2
2026-06-14T11:01:15.111Z,155.98,156.04,155.89,155.93,1328,2
2026-06-14T11:06:15.111Z,155.93,155.97,155.9,155.95,1630,2
2026-06-14T11:11:15.111Z,155.96,156.04,155.93,156,1631,2
2026-06-14T11:16:15.111Z,156,156.11,155.96,156.08,1612,2
2026-06-14T11:21:15.111Z,156.07,156.31,155.86,156.16,1893,2
2026-06-14T11:26:15.111Z,156.17,156.57,156.09,156.3,1365,2
2026-06-14T11:31:15.111Z,156.3,156.34,156.27,156.31,1175,2
2026-06-14T11:36:15.111Z,156.3,156.4,156.09,156.15,1947,2
2026-06-14T11:41:15.111Z,156.13,156.19,156.04,156.07,1644,2
2026-06-14T11:46:15.111Z,156.06,156.25,155.94,156.2,1353,2
2026-06-14T11:51:15.111Z,156.19,156.44,156.14,156.3,1605,2
2026-06-14T11:56:15.111Z,156.3,156.54,156.24,156.47,1739,2
2026-06-14T12:01:15.111Z,156.46,156.56,156.38,156.51,1209,2
2026-06-14T12:06:15.111Z,156.5,156.56,156.48,156.54,1646,2
2026-06-14T12:11:15.111Z,156.53,156.56,156.42,156.49,1230,2
2026-06-14T12:16:15.111Z,156.5,156.62,156.34,156.43,1874,2
2026-06-14T12:21:15.111Z,156.44,156.47,156.36,156.39,1760,2
2026-06-14T12:26:15.111Z,156.38,156.41,156.2,156.31,1814,2
2026-06-14T12:31:15.111Z,156.29,156.45,155.88,156.08,1776,2
2026-06-14T12:36:15.111Z,156.09,156.71,155.71,156.37,1943,2
2026-06-14T12:41:15.111Z,156.37,156.97,156.22,156.63,2489,2
2026-06-14T12:46:15.111Z,156.63,158.01,155.61,156.99,2745,2
2026-06-14T12:51:15.111Z,156.99,157.06,156.85,156.91,1296,2
2026-06-14T12:56:15.111Z,156.91,157.04,156.57,156.72,1904,2
2026-06-14T13:01:15.111Z,156.71,156.91,155.98,156.31,2732,2
2026-06-14T13:06:15.111Z,156.3,156.45,156.27,156.42,2095,2
2026-06-14T13:11:15.111Z,156.42,156.44,156.37,156.41,1451,2
2026-06-14T13:16:15.111Z,156.41,156.43,156.36,156.39,901,2
2026-06-14T13:21:15.111Z,156.39,156.6,156.29,156.46,1986,2
2026-06-14T13:26:15.111Z,156.46,156.8,156.27,156.71,1889,2
2026-06-14T13:31:15.111Z,156.71,156.8,156.67,156.78,1167,2
2026-06-14T13:36:15.111Z,156.79,156.92,156.4,156.49,1946,2
2026-06-14T13:41:15.111Z,156.5,156.89,156.21,156.6,1430,2
2026-06-14T13:46:15.111Z,156.6,156.71,156.38,156.46,1711,2
2026-06-14T13:51:15.111Z,156.45,156.52,156.3,156.38,1132,2
2026-06-14T13:56:15.111Z,156.38,156.82,156.1,156.65,2620,2
2026-06-14T14:01:15.111Z,156.66,156.88,156.33,156.56,1377,2
2026-06-14T14:06:15.111Z,156.55,156.64,156.32,156.46,1300,2
2026-06-14T14:11:15.111Z,156.46,156.74,156.4,156.59,1502,2
2026-06-14T14:16:15.111Z,156.59,156.73,156.5,156.69,1887,2
2026-06-14T14:21:15.111Z,156.69,157.27,156.51,156.9,2273,2
2026-06-14T14:26:15.111Z,156.91,157.02,156.73,156.85,1759,2
2026-06-14T14:31:15.111Z,156.85,156.97,156.79,156.92,1795,2
2026-06-14T14:36:15.111Z,156.92,157.13,156.83,157.02,1321,2
2026-06-14T14:41:15.111Z,157.02,157.27,156.67,156.87,1630,2
2026-06-14T14:46:15.111Z,156.86,156.87,156.77,156.8,1165,2
2026-06-14T14:51:15.111Z,156.8,156.83,156.77,156.79,1027,2
2026-06-14T14:56:15.111Z,156.77,157.07,156.24,156.51,2366,2
2026-06-14T15:01:15.111Z,156.5,157.52,155.85,156.79,2691,2
2026-06-14T15:06:15.111Z,156.79,156.86,156.52,156.61,2251,2
2026-06-14T15:11:15.111Z,156.6,156.83,156.55,156.69,1984,2
2026-06-14T15:16:15.111Z,156.7,156.91,156.5,156.8,2062,2
